"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB",2015,9580,9535,8998,10072,45,582,-492,42786,22442.5,22257.28,21102.42,23412.14,185.22,1340.08,-969.64
"ALB",2016,9426,9665,9181,10149,-239,245,-723,45405,20772.4,21355.71,20314.73,22396.69,-583.31,457.67,-1624.29
"ALB",2017,10072,9794,9329,10259,278,743,-187,48139,20970.8,20454.14,19454,21454.28,516.66,1516.8,-483.48
"ALB",2018,9906,9924,9440,10408,-18,466,-502,50798,19528.3,19552.57,18511.59,20593.55,-24.27,1016.71,-1065.25
"ALB",2019,9988,10054,9517,10591,-66,471,-603,53923,18556.7,18651,17496.14,19805.86,-94.3,1060.56,-1249.16
"ALB",2020,12634,10183,9568,10798,2451,3066,1836,56900,22170.9,17749.43,16426.37,19072.49,4421.47,5744.53,3098.41
"AND",2011,132,,,,,,,3057,4317.9,,,,,,
"AND",2012,140,,,,,,,3028,4628.1,,,,,,
"AND",2013,121,,,,,,,2960,4076,,,,,,
"AND",2014,130,138,117,159,-8,13,-29,2884,4505.2,4776.32,4044.35,5508.29,-271.12,460.85,-1003.09
"AND",2015,152,147,127,166,5,25,-14,2809,5421.6,5241.09,4581.3,5900.88,180.51,840.3,-479.28
"AND",2016,160,155,137,174,5,23,-14,2733,5870.6,5705.86,5071.95,6339.77,164.74,798.65,-469.17
"AND",2017,170,164,144,183,6,26,-13,2657,6384.1,6170.63,5510.84,6830.42,213.47,873.26,-446.32
"AND",2018,164,172,151,194,-8,13,-30,2582,6347.8,6635.4,5903.43,7367.37,-287.6,444.37,-1019.57
"ARM",2015,10192,,,,,,,47852,21308.9,,,,,,
"ARM",2016,10722,,,,,,,50064,21423,,,,,,
"ARM",2017,10981,,,,,,,52816,20819.5,,,,,,
"ARM",2018,10252,,,,,,,55515,18490.2,,,,,,
"ARM",2019,10727,,,,,,,59206,18141.2,,,,,,
"ARM",2020,13936,,,,,,,61441,22678.1,,,,,,
"AUT",2001,34942,,,,,,,290990,12017.9,,,,,,
"AUT",2002,36502,,,,,,,310482,11762.1,,,,,,
"AUT",2003,37870,,,,,,,323806,11706.9,,,,,,
"AUT",2004,36756,,,,,,,337456,10899.6,,,,,,
"AUT",2005,37953,,,,,,,351259,10813.6,,,,,,
"AUT",2006,38295,,,,,,,364008,10524.2,,,,,,
"AUT",2007,38901,,,,,,,374933,10377.8,,,,,,
"AUT",2008,40056,,,,,,,384634,10417,,,,,,
"AUT",2009,41136,,,,,,,393810,10451.3,,,,,,
"AUT",2010,41746,,,,,,,402935,10361.9,,,,,,
"AUT",2011,41608,,,,,,,411739,10106.5,10362.97,9739.45,10986.49,-256.47,367.05,-879.99
"AUT",2012,44064,43778,41594,45962,286,2470,-1898,418384,10533.8,10374.97,9778.43,10971.51,158.83,755.37,-437.71
