"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"DEU",2000 Jan,2138,,,,,,,20320267,10.5,,,,,,
"DEU",2000 Feb,2009,,,,,,,20316738,9.9,,,,,,
"DEU",2000 Mar,2027,,,,,,,20313091,10,,,,,,
"DEU",2000 Apr,1942,,,,,,,20309394,9.6,,,,,,
"DEU",2000 May,2155,,,,,,,20305634,10.6,,,,,,
"DEU",2000 Jun,2058,,,,,,,20301945,10.1,,,,,,
"DEU",2000 Jul,2000,,,,,,,20298232,9.9,,,,,,
"DEU",2000 Aug,2090,,,,,,,20294435,10.3,,,,,,
"DEU",2000 Sep,1918,,,,,,,20290743,9.5,,,,,,
"DEU",2000 Oct,2055,,,,,,,20287006,10.1,,,,,,
"DEU",2000 Nov,1933,,,,,,,20283294,9.5,,,,,,
"DEU",2000 Dec,2008,,,,,,,20279605,9.9,,,,,,
"DEU",2001 Jan,2054,,,,,,,20270821,10.1,,,,,,
"DEU",2001 Feb,1834,,,,,,,20255331,9.1,,,,,,
"DEU",2001 Mar,2000,,,,,,,20239790,9.9,,,,,,
"DEU",2001 Apr,1961,,,,,,,20223618,9.7,,,,,,
"DEU",2001 May,1986,,,,,,,20207447,9.8,,,,,,
"DEU",2001 Jun,1852,,,,,,,20191430,9.2,,,,,,
"DEU",2001 Jul,2087,,,,,,,20175222,10.3,,,,,,
"DEU",2001 Aug,1979,,,,,,,20158871,9.8,,,,,,
"DEU",2001 Sep,1903,,,,,,,20142839,9.4,,,,,,
"DEU",2001 Oct,1932,,,,,,,20126528,9.6,,,,,,
"DEU",2001 Nov,1878,,,,,,,20110527,9.3,,,,,,
"DEU",2001 Dec,1938,,,,,,,20094423,9.6,,,,,,
"DEU",2002 Jan,1950,,,,,,,20073431,9.7,,,,,,
"DEU",2002 Feb,1776,,,,,,,20047144,8.9,,,,,,
"DEU",2002 Mar,1953,,,,,,,20020873,9.8,,,,,,
"DEU",2002 Apr,1906,,,,,,,19993209,9.5,,,,,,
"DEU",2002 May,1935,,,,,,,19966017,9.7,,,,,,
"DEU",2002 Jun,1854,,,,,,,19938825,9.3,,,,,,
"DEU",2002 Jul,1895,,,,,,,19911161,9.5,,,,,,
"DEU",2002 Aug,1903,,,,,,,19883632,9.6,,,,,,
"DEU",2002 Sep,1889,,,,,,,19856204,9.5,,,,,,
"DEU",2002 Oct,1924,,,,,,,19828776,9.7,,,,,,
