"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper"
"ALB",2015 Jan,1105,1120,937,1303,-15,168,-198,41726,2649,2593.88,2199.02,2988.74,55.12,449.98,-339.74
"ALB",2015 Feb,969,881,699,1064,88,270,-95,41913,2312.2,2077.98,1683.12,2472.84,234.22,629.08,-160.64
"ALB",2015 Mar,949,907,725,1090,42,224,-141,42101,2253.9,2120.44,1725.58,2515.3,133.46,528.32,-261.4
"ALB",2015 Apr,846,764,581,947,82,265,-101,42294,2000.5,1812.7,1417.84,2207.56,187.8,582.66,-207.06
"ALB",2015 May,737,734,551,917,3,186,-180,42486,1734.5,1737.34,1342.48,2132.2,-2.84,392.02,-397.7
"ALB",2015 Jun,657,694,512,877,-37,145,-220,42682,1540,1644.48,1249.62,2039.34,-104.48,290.38,-499.34
"ALB",2015 Jul,825,739,556,922,86,269,-97,42875,1922.8,1735.52,1340.66,2130.38,187.28,582.14,-207.58
"ALB",2015 Aug,652,692,509,875,-40,143,-223,43071,1514.1,1623.98,1229.12,2018.84,-109.88,284.98,-504.74
"ALB",2015 Sep,640,624,442,807,16,198,-167,43265,1478.4,1480.32,1085.46,1875.18,-1.92,392.94,-396.78
"ALB",2015 Oct,654,695,512,878,-41,142,-224,43458,1505.8,1617.88,1223.02,2012.74,-112.08,282.78,-506.94
"ALB",2015 Nov,685,752,569,935,-67,116,-250,43652,1568.5,1725.02,1330.16,2119.88,-156.52,238.34,-551.38
"ALB",2015 Dec,861,933,750,1115,-72,111,-254,43846,1962.7,2087.66,1692.8,2482.52,-124.96,269.9,-519.82
"ALB",2016 Jan,916,1131,950,1311,-215,-34,-395,44061,2078.4,2518.75,2127.92,2909.58,-440.35,-49.52,-831.18
"ALB",2016 Feb,834,892,711,1073,-58,123,-239,44304,1882.6,2002.85,1612.02,2393.68,-120.25,270.58,-511.08
"ALB",2016 Mar,878,918,737,1099,-40,141,-221,44544,1971.8,2045.31,1654.48,2436.14,-73.51,317.32,-464.34
"ALB",2016 Apr,738,775,594,956,-37,144,-218,44787,1647.6,1737.57,1346.74,2128.4,-89.97,300.86,-480.8
"ALB",2016 May,743,745,564,926,-2,179,-183,45033,1650.9,1662.21,1271.38,2053.04,-11.31,379.52,-402.14
"ALB",2016 Jun,746,705,524,886,41,222,-140,45277,1646.4,1569.35,1178.52,1960.18,77.05,467.88,-313.78
"ALB",2016 Jul,697,750,569,931,-53,128,-234,45520,1531,1660.39,1269.56,2051.22,-129.39,261.44,-520.22
"ALB",2016 Aug,643,703,522,884,-60,121,-241,45772,1404.6,1548.85,1158.02,1939.68,-144.25,246.58,-535.08
"ALB",2016 Sep,631,635,454,816,-4,177,-185,46015,1370.6,1405.19,1014.36,1796.02,-34.59,356.24,-425.42
"ALB",2016 Oct,747,706,525,886,41,222,-139,46259,1614.6,1542.75,1151.92,1933.58,71.85,462.68,-318.98
"ALB",2016 Nov,824,763,582,943,61,242,-119,46505,1771.5,1649.89,1259.06,2040.72,121.61,512.44,-269.22
"ALB",2016 Dec,1030,943,763,1124,87,267,-94,46748,2202.4,2012.53,1621.7,2403.36,189.87,580.7,-200.96
"ALB",2017 Jan,1543,1141,961,1322,402,582,221,46984,3284.9,2443.62,2054.14,2833.1,841.28,1230.76,451.8
"ALB",2017 Feb,857,903,723,1083,-46,134,-226,47188,1816.7,1927.72,1538.24,2317.2,-111.02,278.46,-500.5
